split_id,strategy,model,feature,selection_freq,stable_selected,mean_jaccard_subsample,mean_k_selected,alpha,lambda
1,lasso_raw,lasso,mean_radius,0.035,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_texture,0.55,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_perimeter,0,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_area,0,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_smoothness,0.005,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_compactness,0,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_concavity,0.325,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_concave_points,0.625,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_symmetry,0.035,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,mean_fractal_dimension,0.315,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_radius,0.875,1,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_texture,0.04,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_perimeter,0.02,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_area,0.02,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_smoothness,0.16,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_compactness,0.255,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_concavity,0,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_concave_points,0.005,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_symmetry,0.095,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,se_fractal_dimension,0.685,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_radius,1,1,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_texture,0.985,1,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_perimeter,0.225,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_area,0.06,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_smoothness,0.93,1,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_compactness,0,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_concavity,0.73,0,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_concave_points,0.97,1,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_symmetry,0.87,1,0.603922071525913,9.825,1,0.006937972541085129
1,lasso_raw,lasso,worst_fractal_dimension,0.01,0,0.603922071525913,9.825,1,0.006937972541085129
1,enet_raw,enet,mean_radius,0.98,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_texture,0.96,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_perimeter,0.965,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_area,0.995,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_smoothness,0.165,0,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_compactness,0.015,0,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_concavity,0.98,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_concave_points,1,1,0.8386081913354319,20.97,0.5,0.008714497914691595
1,enet_raw,enet,mean_symmetry,0.13,0,0.8386081913354319,20.97,0.5,0.008714497914691595
